t,orientacion,energometro,roboscanner,monstroscopio,vacuscopio,posicion_anterior,accion
0,+Z,False,False,True,False,"(0, 4, 5)",PROPULSOR
1,+Z,False,False,True,True,"(0, 4, 5)",REORIENTADOR
2,+Y,False,False,True,False,"(0, 4, 5)",PROPULSOR
3,+Y,False,False,True,False,"(0, 4, 5)",PROPULSOR
4,+Y,False,False,True,True,"(0, 4, 5)",REORIENTADOR
5,-X,False,False,True,False,"(0, 4, 5)",PROPULSOR
6,-X,False,False,True,True,"(0, 4, 5)",REORIENTADOR
7,-Y,False,False,True,False,"(0, 4, 5)",PROPULSOR
8,-Y,False,False,True,False,"(0, 5, 5)",PROPULSOR
9,-Y,False,False,True,True,"(0, 5, 5)",REORIENTADOR
10,+X,False,False,True,False,"(0, 5, 5)",PROPULSOR
11,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
12,+X,False,False,True,False,"(1, 4, 5)",PROPULSOR
13,+X,False,False,True,False,"(2, 4, 5)",PROPULSOR
14,+X,False,False,True,False,"(3, 4, 5)",PROPULSOR
15,+X,False,False,True,False,"(4, 4, 5)",PROPULSOR
16,+X,False,False,True,True,"(4, 4, 5)",REORIENTADOR
17,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
18,+Y,False,False,True,False,"(5, 4, 5)",PROPULSOR
19,+Y,False,False,True,True,"(5, 4, 5)",REORIENTADOR
20,-X,False,False,True,False,"(5, 4, 5)",PROPULSOR
21,-X,False,False,True,False,"(5, 5, 5)",PROPULSOR
22,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
23,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
24,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
25,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
26,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
27,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
28,-Y,False,False,True,False,"(0, 5, 5)",PROPULSOR
29,-Y,False,False,True,True,"(0, 5, 5)",REORIENTADOR
30,+X,False,False,True,False,"(0, 5, 5)",PROPULSOR
31,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
32,+X,False,False,True,False,"(1, 4, 5)",PROPULSOR
33,+X,False,False,True,False,"(2, 4, 5)",PROPULSOR
34,+X,False,False,True,False,"(3, 4, 5)",PROPULSOR
35,+X,False,False,True,False,"(4, 4, 5)",PROPULSOR
36,+X,False,False,True,True,"(4, 4, 5)",REORIENTADOR
37,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
38,+Y,False,False,True,False,"(5, 4, 5)",PROPULSOR
39,+Y,False,False,True,True,"(5, 4, 5)",REORIENTADOR
40,-X,False,False,True,False,"(5, 4, 5)",PROPULSOR
41,-X,False,False,True,False,"(5, 5, 5)",PROPULSOR
